Index,Sentence,Sentiment
346,Rishi ate lunch.,neutral
347,I love mangoes and hate bananas,neutral
348,I am disappointed with the service.,negative
349,She lives in Pokhara.,neutral
350,He missed the deadline.,negative
351,I am very happy with results.,positive
352,Mountains are beautiful.,positive
353,Mountains are beautiful.,positive
354,Results were bad.,negative
355,Today is Monday.,neutral
356,I am disappointed with the service.,negative
357,I love mountains.,positive
358,He is reading a book.,neutral
359,Roshan is computer student.,neutral
360,I use laptop.,neutral
361,Mountains are beautiful.,positive
362,I hate bananas.,negative
363,Ram is good boy.,positive
364,Weather feels pleasant today.,positive
365,The solution saved a lot of time.,positive
366,I use to play piano.,neutral
367,Weather feels pleasant today.,positive
368,Ram is good boy.,positive
369,He is reading a book.,neutral
370,Weather feels pleasant today.,positive
371,I am disappointed with the service.,negative
372,Mountains are beautiful.,positive
373,I love piano.,positive
374,I hate bananas.,negative
375,Nabin travels a lot.,neutral
376,I love piano.,positive
377,Class ended early.,neutral
378,I use to play piano.,neutral
379,Mountains are beautiful.,positive
380,I use laptop.,neutral
381,Team failed to meet expectations.,negative
382,I am very happy with results.,positive
383,He is handsome.,positive
384,Today is Monday.,neutral
385,Mountains are beautiful.,positive
386,He is handsome.,positive
387,Shyam is a bad boy.,negative
388,Ram is good boy.,positive
389,Roshan is computer student.,neutral
390,I am disappointed with the service.,negative
391,Results were bad.,negative
392,I love mountains.,positive
393,I love mangoes and hate bananas,neutral
394,He missed the deadline.,negative
395,Ram is good boy.,positive
396,I am allergic to cold.,negative
397,I am allergic to cold.,negative
398,Rishi ate lunch.,neutral
399,Roshan is computer student.,neutral
400,Today is Monday.,neutral
